,power,elite,immig,modularity,connectivity
0,1.0,0.05,0.1,0.5054009149782152,1.0
1,1.0,0.05,0.15,0.505823716747724,1.0
2,1.0,0.05,0.3,0.5052079826619897,1.0
3,1.0,0.1,0.1,0.5055849605905594,1.0
4,1.0,0.1,0.15,0.5055867059051469,1.0
5,1.0,0.1,0.3,0.5055427102966265,1.0
6,1.0,0.2,0.1,0.505796974377154,1.0
7,1.0,0.2,0.15,0.5055160428503461,1.0
8,1.0,0.2,0.3,0.5053601032965257,1.0
9,3.0,0.05,0.1,0.5054340991383799,1.0
10,3.0,0.05,0.15,0.505595690352193,1.0
11,3.0,0.05,0.3,0.5056727580378866,1.0
12,3.0,0.1,0.1,0.5056812434867392,1.0
13,3.0,0.1,0.15,0.5056376884767351,1.0
14,3.0,0.1,0.3,0.5056404326546884,1.0
15,3.0,0.2,0.1,0.5057828473252607,1.0
16,3.0,0.2,0.15,0.5058311934149753,1.0
17,3.0,0.2,0.3,0.5053384884280365,1.0
18,5.0,0.05,0.1,0.5055864443723874,1.0
19,5.0,0.05,0.15,0.5056123073145607,1.0
20,5.0,0.05,0.3,0.5054548668820947,1.0
21,5.0,0.1,0.1,0.5056727611590094,1.0
22,5.0,0.1,0.15,0.5056417577274166,1.0
23,5.0,0.1,0.3,0.5057041193408999,1.0
24,5.0,0.2,0.1,0.5057291329908524,1.0
25,5.0,0.2,0.15,0.5058966020767102,1.0
26,5.0,0.2,0.3,0.5052672940020609,1.0
27,7.0,0.05,0.1,0.5056293686381318,1.0
28,7.0,0.05,0.15,0.5054801450472137,1.0
29,7.0,0.05,0.3,0.5055676994804436,1.0
30,7.0,0.1,0.1,0.5055238469927481,1.0
31,7.0,0.1,0.15,0.5055644486228665,1.0
32,7.0,0.1,0.3,0.5049167928018231,1.0
33,7.0,0.2,0.1,0.5057380653151461,1.0
34,7.0,0.2,0.15,0.5059450326101391,1.0
35,7.0,0.2,0.3,0.5056591565830897,1.0
